Name: ВРЕМЯ Number: 66 Type: 1 Dimension: ДTBP     Count: 9147
time: 04:39:04:704	Value: 6.1214028822E7
time: 04:39:04:704	Value: 6.1214028838E7
time: 04:39:04:704	Value: 6.1214028854E7
time: 04:39:04:704	Value: 6.1214028871E7
time: 04:39:04:704	Value: 6.1214028887E7
time: 04:39:04:704	Value: 6.1214028903E7
time: 04:39:04:704	Value: 6.1214028919E7
time: 04:39:04:704	Value: 6.1214028935E7
time: 04:39:04:960	Value: 6.1214028952E7
time: 04:39:04:960	Value: 6.1214028968E7
time: 04:39:04:960	Value: 6.1214028984E7
time: 04:39:04:960	Value: 6.1214029E7
time: 04:39:04:960	Value: 6.1214029016E7
time: 04:39:04:960	Value: 6.1214029033E7
time: 04:39:04:960	Value: 6.1214029049E7
time: 04:39:04:960	Value: 6.1214029065E7
time: 04:39:04:960	Value: 6.1214029081E7
time: 04:39:04:960	Value: 6.1214029097E7
time: 04:39:04:960	Value: 6.1214029113E7
time: 04:39:04:960	Value: 6.121402913E7
time: 04:39:04:960	Value: 6.1214029146E7
time: 04:39:04:960	Value: 6.1214029162E7
time: 04:39:04:960	Value: 6.1214029178E7
time: 04:39:04:960	Value: 6.1214029194E7
time: 04:39:05:216	Value: 6.1214029211E7
time: 04:39:05:216	Value: 6.1214029227E7
time: 04:39:05:216	Value: 6.1214029243E7
time: 04:39:05:216	Value: 6.1214029259E7
time: 04:39:05:216	Value: 6.1214029275E7
time: 04:39:05:216	Value: 6.1214029291E7
time: 04:39:05:216	Value: 6.1214029308E7
time: 04:39:05:216	Value: 6.1214029324E7
time: 04:39:05:216	Value: 6.121402934E7
time: 04:39:05:216	Value: 6.1214029356E7
time: 04:39:05:216	Value: 6.1214029372E7
time: 04:39:05:216	Value: 6.1214029389E7
time: 04:39:05:216	Value: 6.1214029405E7
time: 04:39:05:216	Value: 6.1214029421E7
time: 04:39:05:216	Value: 6.1214029437E7
time: 04:39:05:472	Value: 6.1214029453E7
time: 04:39:05:472	Value: 6.121402947E7
time: 04:39:05:472	Value: 6.1214029486E7
time: 04:39:05:472	Value: 6.1214029502E7
time: 04:39:05:472	Value: 6.1214029518E7
time: 04:39:05:472	Value: 6.1214029534E7
time: 04:39:05:472	Value: 6.1214029551E7
time: 04:39:05:472	Value: 6.1214029567E7
time: 04:39:05:472	Value: 6.1214029583E7
time: 04:39:05:472	Value: 6.1214029599E7
time: 04:39:05:472	Value: 6.1214029615E7
time: 04:39:05:472	Value: 6.1214029631E7
time: 04:39:05:472	Value: 6.1214029648E7
time: 04:39:05:472	Value: 6.1214029664E7
time: 04:39:05:472	Value: 6.121402968E7
time: 04:39:05:472	Value: 6.1214029696E7
time: 04:39:05:728	Value: 6.1214029712E7
time: 04:39:05:728	Value: 6.1214029729E7
time: 04:39:05:728	Value: 6.1214029745E7
time: 04:39:05:728	Value: 6.1214029761E7
time: 04:39:05:728	Value: 6.1214029777E7
time: 04:39:05:728	Value: 6.1214029793E7
time: 04:39:05:728	Value: 6.1214029809E7
time: 04:39:05:728	Value: 6.1214029826E7
time: 04:39:05:728	Value: 6.1214029842E7
time: 04:39:05:728	Value: 6.1214029858E7
time: 04:39:05:728	Value: 6.1214029874E7
time: 04:39:05:728	Value: 6.121402989E7
time: 04:39:05:728	Value: 6.1214029907E7
time: 04:39:05:728	Value: 6.1214029923E7
time: 04:39:05:728	Value: 6.1214029939E7
time: 04:39:05:728	Value: 6.1214029955E7
time: 04:39:05:984	Value: 6.1214029971E7
time: 04:39:05:984	Value: 6.1214029988E7
time: 04:39:05:984	Value: 6.1214030004E7
time: 04:39:05:984	Value: 6.121403002E7
time: 04:39:05:984	Value: 6.1214030036E7
time: 04:39:05:984	Value: 6.1214030052E7
time: 04:39:05:984	Value: 6.1214030068E7
time: 04:39:05:984	Value: 6.1214030085E7
time: 04:39:05:984	Value: 6.1214030101E7
time: 04:39:05:984	Value: 6.1214030117E7
time: 04:39:05:984	Value: 6.1214030133E7
time: 04:39:05:984	Value: 6.1214030149E7
time: 04:39:05:984	Value: 6.1214030166E7
time: 04:39:05:984	Value: 6.1214030182E7
time: 04:39:05:984	Value: 6.1214030198E7
time: 04:39:05:984	Value: 6.1214030214E7
time: 04:39:06:240	Value: 6.121403023E7
time: 04:39:06:240	Value: 6.1214030247E7
time: 04:39:06:240	Value: 6.1214030263E7
time: 04:39:06:240	Value: 6.1214030279E7
time: 04:39:06:240	Value: 6.1214030295E7
time: 04:39:06:240	Value: 6.1214030311E7
time: 04:39:06:240	Value: 6.1214030327E7
time: 04:39:06:240	Value: 6.1214030344E7
time: 04:39:06:240	Value: 6.121403036E7
time: 04:39:06:240	Value: 6.1214030376E7
time: 04:39:06:240	Value: 6.1214030392E7
time: 04:39:06:240	Value: 6.1214030408E7
time: 04:39:06:240	Value: 6.1214030425E7
time: 04:39:06:240	Value: 6.1214030441E7
time: 04:39:06:240	Value: 6.1214030457E7
time: 04:39:06:240	Value: 6.1214030473E7
time: 04:39:06:496	Value: 6.1214030489E7
time: 04:39:06:496	Value: 6.1214030506E7
time: 04:39:06:496	Value: 6.1214030522E7
time: 04:39:06:496	Value: 6.1214030538E7
time: 04:39:06:496	Value: 6.1214030554E7
time: 04:39:06:496	Value: 6.121403057E7
time: 04:39:06:496	Value: 6.1214030586E7
time: 04:39:06:496	Value: 6.1214030603E7
time: 04:39:06:496	Value: 6.1214030619E7
time: 04:39:06:496	Value: 6.1214030635E7
time: 04:39:06:496	Value: 6.1214030651E7
time: 04:39:06:496	Value: 6.1214030667E7
time: 04:39:06:496	Value: 6.1214030684E7
time: 04:39:06:496	Value: 6.12140307E7
time: 04:39:06:496	Value: 6.1214030716E7
time: 04:39:06:752	Value: 6.1214030732E7
time: 04:39:06:752	Value: 6.1214030748E7
time: 04:39:06:752	Value: 6.1214030765E7
time: 04:39:06:752	Value: 6.1214030781E7
time: 04:39:06:752	Value: 6.1214030797E7
time: 04:39:06:752	Value: 6.1214030813E7
time: 04:39:06:752	Value: 6.1214030829E7
time: 04:39:06:752	Value: 6.1214030845E7
time: 04:39:06:752	Value: 6.1214030862E7
time: 04:39:06:752	Value: 6.1214030878E7
time: 04:39:06:752	Value: 6.1214030894E7
time: 04:39:06:752	Value: 6.121403091E7
time: 04:39:06:752	Value: 6.1214030926E7
time: 04:39:06:752	Value: 6.1214030943E7
time: 04:39:06:752	Value: 6.1214030959E7
time: 04:39:06:752	Value: 6.1214030975E7
time: 04:39:07:008	Value: 6.1214030991E7
time: 04:39:07:008	Value: 6.1214031007E7
time: 04:39:07:008	Value: 6.1214031024E7
time: 04:39:07:008	Value: 6.121403104E7
time: 04:39:07:008	Value: 6.1214031056E7
time: 04:39:07:008	Value: 6.1214031072E7
time: 04:39:07:008	Value: 6.1214031088E7
time: 04:39:07:008	Value: 6.1214031104E7
time: 04:39:07:008	Value: 6.1214031121E7
time: 04:39:07:008	Value: 6.1214031137E7
time: 04:39:07:008	Value: 6.1214031153E7
time: 04:39:07:008	Value: 6.1214031169E7
time: 04:39:07:008	Value: 6.1214031185E7
time: 04:39:07:008	Value: 6.1214031202E7
time: 04:39:07:008	Value: 6.1214031218E7
time: 04:39:07:008	Value: 6.1214031234E7
time: 04:39:07:264	Value: 6.121403125E7
time: 04:39:07:264	Value: 6.1214031283E7
time: 04:39:07:264	Value: 6.1214031299E7
time: 04:39:07:264	Value: 6.1214031315E7
time: 04:39:07:264	Value: 6.1214031331E7
time: 04:39:07:264	Value: 6.1214031347E7
time: 04:39:07:264	Value: 6.1214031363E7
time: 04:39:07:264	Value: 6.121403138E7
time: 04:39:07:264	Value: 6.1214031396E7
time: 04:39:07:264	Value: 6.1214031412E7
time: 04:39:07:264	Value: 6.1214031428E7
time: 04:39:07:264	Value: 6.1214031444E7
time: 04:39:07:264	Value: 6.1214031461E7
time: 04:39:07:264	Value: 6.1214031477E7
time: 04:39:07:264	Value: 6.1214031493E7
time: 04:39:07:520	Value: 6.1214031509E7
time: 04:39:07:520	Value: 6.1214031525E7
time: 04:39:07:520	Value: 6.1214031542E7
time: 04:39:07:520	Value: 6.1214031558E7
time: 04:39:07:520	Value: 6.1214031574E7
time: 04:39:07:520	Value: 6.121403159E7
time: 04:39:07:520	Value: 6.1214031606E7
time: 04:39:07:520	Value: 6.1214031622E7
time: 04:39:07:520	Value: 6.1214031639E7
time: 04:39:07:520	Value: 6.1214031671E7
time: 04:39:07:520	Value: 6.1214031687E7
time: 04:39:07:520	Value: 6.1214031703E7
time: 04:39:07:520	Value: 6.121403172E7
time: 04:39:07:520	Value: 6.1214031736E7
time: 04:39:07:520	Value: 6.1214031752E7
time: 04:39:07:776	Value: 6.1214031768E7
time: 04:39:07:776	Value: 6.1214031784E7
time: 04:39:07:776	Value: 6.1214031801E7
time: 04:39:07:776	Value: 6.1214031817E7
time: 04:39:07:776	Value: 6.1214031833E7
time: 04:39:07:776	Value: 6.1214031849E7
time: 04:39:07:776	Value: 6.1214031865E7
time: 04:39:07:776	Value: 6.1214031881E7
time: 04:39:07:776	Value: 6.1214031898E7
time: 04:39:07:776	Value: 6.1214031914E7
time: 04:39:07:776	Value: 6.121403193E7
time: 04:39:07:776	Value: 6.1214031946E7
time: 04:39:07:776	Value: 6.1214031962E7
time: 04:39:07:776	Value: 6.1214031979E7
time: 04:39:07:776	Value: 6.1214031995E7
time: 04:39:07:776	Value: 6.1214032011E7
time: 04:39:08:032	Value: 6.1214032027E7
time: 04:39:08:032	Value: 6.1214032043E7
time: 04:39:08:032	Value: 6.121403206E7
time: 04:39:08:032	Value: 6.1214032076E7
time: 04:39:08:032	Value: 6.1214032092E7
time: 04:39:08:032	Value: 6.1214032108E7
time: 04:39:08:032	Value: 6.1214032124E7
time: 04:39:08:032	Value: 6.121403214E7
time: 04:39:08:032	Value: 6.1214032157E7
time: 04:39:08:032	Value: 6.1214032173E7
time: 04:39:08:032	Value: 6.1214032189E7
time: 04:39:08:032	Value: 6.1214032205E7
time: 04:39:08:032	Value: 6.1214032221E7
time: 04:39:08:032	Value: 6.1214032238E7
time: 04:39:08:032	Value: 6.1214032254E7
time: 04:39:08:288	Value: 6.121403227E7
time: 04:39:08:288	Value: 6.1214032286E7
time: 04:39:08:288	Value: 6.1214032302E7
time: 04:39:08:288	Value: 6.1214032319E7
time: 04:39:08:288	Value: 6.1214032351E7
time: 04:39:08:288	Value: 6.1214032367E7
time: 04:39:08:288	Value: 6.1214032383E7
time: 04:39:08:288	Value: 6.1214032399E7
time: 04:39:08:288	Value: 6.1214032416E7
time: 04:39:08:288	Value: 6.1214032432E7
time: 04:39:08:288	Value: 6.1214032448E7
